positive,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,onVentilatorCurrently,death,hospitalized,hospitalizedDischarged,totalTestEncountersViral,positiveIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,is_holiday,is_long_weekend,Ridership,hospitalizedC,sevenDayAvg_newCases,sevenDayAvg_hospitalize,sevenDayAvg_death,sevenDayAvg_testResult,date
505431,14390756,1085,89995,243,116.0,25804,89995,79621.0,14390756,2255,505431,146885,505431,12,0,0,0,1771288.0,89995,1951,0,14,130915,2020-10-30
507480,14527718,1121,89995,248,122.0,25807,89995,79717.0,14527718,2049,507480,136962,507480,3,0,0,0,1174079.0,89995,1950,0,13,128061,2020-10-31
509735,14676653,1125,89995,259,117.0,25824,89995,79831.0,14676653,2255,509735,148935,509735,17,0,0,0,786678.0,89995,2039,0,13,132076,2020-11-01
511368,14772754,1151,89995,276,117.0,25838,89995,79831.0,14772754,1633,511368,96101,511368,14,0,0,0,1751443.0,89995,2102,0,14,134073,2020-11-02
513689,14900623,1227,89995,268,120.0,25853,89995,79990.0,14900623,2321,513689,127869,513689,15,0,1,0,1606096.0,89995,2149,0,14,136395,2020-11-03
515815,15034157,1253,89995,284,129.0,25868,89995,80109.0,15034157,2126,515815,133534,515815,15,0,0,0,1693937.0,89995,2163,0,14,136948,2020-11-04
518812,15195176,1277,89995,268,128.0,25892,89995,80225.0,15195176,2997,518812,161019,518812,24,0,0,0,1797589.0,89995,2234,0,14,135901,2020-11-05
522021,15355881,1321,89995,285,129.0,25910,89995,80368.0,15355881,3209,522021,160705,522021,18,0,0,0,1840860.0,89995,2370,0,15,137875,2020-11-06
525608,15519172,1381,89995,308,138.0,25928,89995,80494.0,15519172,3587,525608,163291,525608,18,0,0,0,1246356.0,89995,2590,0,17,141636,2020-11-07
529036,15664814,1396,89995,295,131.0,25947,89995,80646.0,15664814,3428,529036,145642,529036,19,0,0,0,928516.0,89995,2757,0,18,141166,2020-11-08
532180,15776230,1444,89995,282,125.0,25973,89995,80764.0,15776230,3144,532180,111416,532180,26,0,0,0,1756175.0,89995,2973,0,19,143354,2020-11-09
536145,15904266,1548,89995,296,128.0,26005,89995,80854.0,15904266,3965,536145,128036,536145,32,0,0,0,1840750.0,89995,3208,0,22,143378,2020-11-10
540965,16068566,1628,89995,304,135.0,26026,89995,81020.0,16068566,4820,540965,164300,540965,21,0,1,0,1617862.0,89995,3593,0,23,147773,2020-11-11
545762,16231193,1677,89995,308,136.0,26055,89995,81198.0,16231193,4797,545762,162627,545762,29,0,0,0,1780212.0,89995,3850,0,23,148002,2020-11-12
551163,16434914,1737,89995,331,137.0,26079,89995,81390.0,16434914,5401,551163,203721,551163,24,0,0,0,1820025.0,89995,4163,0,24,154148,2020-11-13
556551,16619076,1788,89995,367,146.0,26103,89995,81585.0,16619076,5388,556551,184162,556551,24,0,0,0,1215491.0,89995,4420,0,25,157129,2020-11-14
560200,16752278,1845,89995,378,158.0,26133,89995,81788.0,16752278,3649,560200,133202,560200,30,0,0,0,821555.0,89995,4452,0,27,155352,2020-11-15
563690,16876843,1968,89995,391,158.0,26159,89995,81908.0,16876843,3490,563690,124565,563690,26,0,0,0,1745282.0,89995,4501,0,27,157230,2020-11-16
568778,17036695,2124,89995,408,176.0,26189,89995,82022.0,17036695,5088,568778,159852,568778,30,0,0,0,1792431.0,89995,4662,0,26,161776,2020-11-17
574072,17191129,2202,89995,423,176.0,26225,89995,82022.0,17191129,5294,574072,154434,574072,36,0,0,0,1791183.0,89995,4730,0,28,160366,2020-11-18
579382,17386368,2276,89995,437,200.0,26257,89995,82507.0,17386368,5310,579382,195239,579382,32,0,0,0,1761064.0,89995,4803,0,29,165025,2020-11-19
584850,17591834,2348,89995,445,205.0,26292,89995,82766.0,17591834,5468,584850,205466,584850,35,0,0,0,1803896.0,89995,4812,0,30,165274,2020-11-20
590822,17799741,2443,89995,467,212.0,26326,89995,83031.0,17799741,5972,590822,207907,590822,34,0,0,0,1157976.0,89995,4896,0,32,168666,2020-11-21
596214,17996351,2562,89995,502,234.0,26357,89995,83307.0,17996351,5392,596214,196610,596214,31,0,0,0,818055.0,89995,5145,0,32,177725,2020-11-22
602120,18187840,2724,89995,545,234.0,26390,89995,83307.0,18187840,5906,602120,191489,602120,33,0,0,0,1649748.0,89995,5490,0,33,187285,2020-11-23
607001,18352601,2856,89995,559,263.0,26441,89995,83701.0,18352601,4881,607001,164761,607001,51,0,0,0,1739107.0,89995,5460,0,36,187987,2020-11-24
613266,18525686,2982,89995,596,277.0,26482,89995,84001.0,18525686,6265,613266,173085,613266,41,0,0,0,1691393.0,89995,5599,0,37,190651,2020-11-25
620199,18743407,3056,89995,628,286.0,26549,89995,84339.0,18743407,6933,620199,217721,620199,67,0,1,1,653123.0,89995,5831,0,42,193863,2020-11-26
628375,18962849,3103,89995,636,294.0,26588,89995,84723.0,18962849,8176,628375,219442,628375,39,0,0,0,1265519.0,89995,6218,0,42,195859,2020-11-27
634438,19115204,3287,89995,654,331.0,26632,89995,84938.0,19115204,6063,634438,152355,634438,44,0,0,0,1034026.0,89995,6231,0,44,187923,2020-11-28
641161,19272524,3372,89995,667,326.0,26690,89995,85287.0,19272524,6723,641161,157320,641161,58,0,0,0,827800.0,89995,6421,0,48,182310,2020-11-29
647980,19421498,3532,89995,681,325.0,26747,89995,85556.0,19421498,6819,647980,148974,647980,57,0,0,0,1462166.0,89995,6551,0,51,176237,2020-11-30
655265,19568173,3774,89995,718,348.0,26816,89995,85808.0,19568173,7285,655265,146675,655265,69,0,0,0,1709780.0,89995,6895,0,54,173653,2020-12-01
664238,19761724,3924,89995,742,373.0,26889,89995,86201.0,19761724,8973,664238,193551,664238,73,0,0,0,1703245.0,89995,7282,0,58,176577,2020-12-02
674093,19965164,4063,89995,783,373.0,26955,89995,86201.0,19965164,9855,674093,203440,674093,66,0,0,0,1739370.0,89995,7699,0,58,174537,2020-12-03
685364,20173461,4222,89995,795,377.0,27017,89995,86638.0,20173461,11271,685364,208297,685364,62,0,0,0,1704749.0,89995,8141,0,61,172945,2020-12-04
696125,20388862,4318,89995,825,435.0,27089,89995,87473.0,20388862,10761,696125,215401,696125,72,0,0,0,1001236.0,89995,8812,0,65,181951,2020-12-05
705827,20594694,4442,89995,850,464.0,27149,89995,87949.0,20594694,9702,705827,205832,705827,60,0,0,0,879278.0,89995,9238,0,66,188881,2020-12-06
713129,20746981,4602,89995,872,464.0,27232,89995,87949.0,20746981,7302,713129,152287,713129,83,0,0,0,1659836.0,89995,9307,0,69,189355,2020-12-07
722464,20909445,4835,89995,906,493.0,27307,89995,88584.0,20909445,9335,722464,162464,722464,75,0,0,0,1544078.0,89995,9600,0,70,191610,2020-12-08
733064,21104040,4993,89995,952,521.0,27404,89995,89089.0,21104040,10600,733064,194595,733064,97,0,0,0,1705159.0,89995,9832,0,74,191759,2020-12-09
743242,21301446,5164,89995,994,539.0,27498,89995,89600.0,21301446,10178,743242,197406,743242,94,0,0,0,1764682.0,89995,9878,0,78,190897,2020-12-10
753837,21514118,5321,89995,1007,546.0,27587,89995,90152.0,21514118,10595,753837,212672,753837,89,0,0,0,1789568.0,89995,9782,0,81,191522,2020-12-11
764966,21757045,5359,89995,1029,563.0,27675,89995,90747.0,21757045,11129,764966,242927,764966,88,0,0,0,1091372.0,89995,9834,0,84,195455,2020-12-12
775160,21962295,5410,89995,1009,567.0,27785,89995,91366.0,21962295,10194,775160,205250,775160,110,0,0,0,911519.0,89995,9905,0,91,195372,2020-12-13
784204,22122139,5712,89995,1040,567.0,27870,89995,91366.0,22122139,9044,784204,159844,784204,85,0,0,0,1587068.0,89995,10154,0,91,196451,2020-12-14
794557,22316327,5982,89995,1065,580.0,28002,89995,92136.0,22316327,10353,794557,194188,794557,132,0,0,0,1786741.0,89995,10299,0,99,200983,2020-12-15
804555,22477274,6097,89995,1098,611.0,28100,89995,92735.0,22477274,9998,804555,160947,804555,98,0,0,0,1571978.0,89995,10213,0,99,196176,2020-12-16
815469,22680046,6147,89995,1095,611.0,28222,89995,93418.0,22680046,10914,815469,202772,815469,122,0,0,0,1081431.0,89995,10318,0,103,196943,2020-12-17
828166,22929431,6081,89995,1068,592.0,28344,89995,94057.0,22929431,12697,828166,249385,828166,122,0,0,0,1738727.0,89995,10618,0,108,202188,2020-12-18
838085,23120907,6208,89995,1088,610.0,28474,89995,94579.0,23120907,9919,838085,191476,838085,130,0,0,0,1112852.0,89995,10446,0,114,194837,2020-12-19
848042,23318158,6185,89995,1045,600.0,28598,89995,94579.0,23318158,9957,848042,197251,848042,124,0,0,0,822001.0,89995,10412,0,116,193695,2020-12-20
857049,23474668,6331,89995,1095,613.0,28709,89995,95779.0,23474668,9007,857049,156510,857049,111,0,0,0,1719279.0,89995,10406,0,120,193218,2020-12-21
866765,23639536,6661,89995,1126,614.0,28850,89995,96185.0,23639536,9716,866765,164868,866765,141,0,0,0,1764202.0,89995,10315,0,121,189030,2020-12-22
878702,23843897,6864,89995,1166,633.0,29016,89995,96857.0,23843897,11937,878702,204361,878702,166,0,0,0,1775738.0,89995,10592,0,131,195232,2020-12-23
891270,24070193,6928,89995,1160,621.0,29149,89995,97600.0,24070193,12568,891270,226296,891270,133,0,0,0,1314656.0,89995,10829,0,132,198592,2020-12-24
903716,24296753,6950,89995,1148,621.0,29270,89995,98350.0,24296753,12446,903716,226560,903716,121,0,1,1,485839.0,89995,10793,0,132,195332,2020-12-25
914522,24498195,6884,89995,1129,638.0,29396,89995,99156.0,24498195,10806,914522,201442,914522,126,0,0,0,880184.0,89995,10920,0,132,196755,2020-12-26
922145,24628494,7183,89995,1187,687.0,29511,89995,99583.0,24628494,7623,922145,130299,922145,115,0,0,0,761251.0,89995,10586,0,130,187191,2020-12-27
932552,24753360,7559,89995,1222,717.0,29629,89995,100008.0,24753360,10407,932552,124866,932552,118,0,0,0,1513195.0,89995,10786,0,131,182670,2020-12-28
943990,24913524,7814,89995,1224,711.0,29756,89995,100442.0,24913524,11438,943990,160164,943990,127,0,0,0,1558295.0,89995,11032,0,129,181998,2020-12-29
957412,25068473,7892,89995,1250,702.0,29905,89995,101295.0,25068473,13422,957412,154949,957412,149,0,0,0,1585476.0,89995,11244,0,127,174939,2020-12-30
974214,25285060,7935,89995,1276,723.0,30040,89995,102129.0,25285060,16802,974214,216587,974214,135,0,0,0,1277146.0,89995,11849,0,127,173552,2020-12-31
990711,25504313,7886,89995,1292,776.0,30208,89995,102968.0,25504313,16497,990711,219253,990711,168,0,0,0,614497.0,89995,12428,0,134,172509,2021-01-01
1005785,25706759,7814,89995,1321,786.0,30337,89995,103828.0,25706759,15074,1005785,202446,1005785,129,0,0,0,989612.0,89995,13038,0,134,172652,2021-01-02
1017153,25849104,7963,89995,1344,815.0,30476,89995,104402.0,25849104,11368,1017153,142345,1017153,139,0,0,0,653915.0,89995,13573,0,138,174373,2021-01-03
1028362,25983464,8251,89995,1357,843.0,30648,89995,104939.0,25983464,11209,1028362,134360,1028362,172,0,0,0,1561237.0,89995,13687,0,146,175729,2021-01-04
1041028,26135866,8590,89995,1392,851.0,30802,89995,105379.0,26135866,12666,1041028,152402,1041028,154,0,0,0,1600910.0,89995,13863,0,149,174620,2021-01-05
1057676,26333682,8665,89995,1408,851.0,30965,89995,105379.0,26333682,16648,1057676,197816,1057676,163,0,0,0,1616889.0,89995,14323,0,151,180744,2021-01-06
1075312,26572232,8548,89995,1424,859.0,31164,89995,107243.0,26572232,17636,1075312,238550,1075312,199,0,0,0,1614248.0,89995,14443,0,161,183882,2021-01-07
1094144,26816135,8561,89995,1475,912.0,31329,89995,108144.0,26816135,18832,1094144,243903,1094144,165,0,0,0,1622259.0,89995,14776,0,160,187403,2021-01-08
1111087,27074166,8527,89995,1428,876.0,31519,89995,109035.0,27074166,16943,1111087,258031,1111087,190,0,0,0,991218.0,89995,15043,0,169,195344,2021-01-09
1126442,27321002,8484,89995,1436,892.0,31672,89995,109982.0,27321002,15355,1126442,246836,1126442,153,0,0,0,763690.0,89995,15613,0,171,210271,2021-01-10
1140156,27524906,8645,89995,1426,891.0,31841,89995,110600.0,27524906,13714,1140156,203904,1140156,169,0,0,0,1571330.0,89995,15971,0,170,220206,2021-01-11
1155370,27721577,8926,89995,1492,909.0,32007,89995,111141.0,27721577,15214,1155370,196671,1155370,166,0,0,0,1643725.0,89995,16335,0,172,226530,2021-01-12
1169947,27918445,8929,89995,1501,924.0,32175,89995,112023.0,27918445,14577,1169947,196868,1169947,168,0,0,0,1644812.0,89995,16039,0,173,226395,2021-01-13
1183608,28131034,8823,89995,1536,956.0,32379,89995,112979.0,28131034,13661,1183608,212589,1183608,204,0,0,0,1650630.0,89995,15471,0,174,222686,2021-01-14
1203550,28455705,8808,89995,1570,962.0,32566,89995,113919.0,28455705,19942,1203550,324671,1203550,187,0,0,0,1630098.0,89995,15629,0,177,234224,2021-01-15
1219548,28732991,8888,89995,1580,983.0,32725,89995,114868.0,28732991,15998,1219548,277286,1219548,159,0,0,0,992599.0,89995,15494,0,172,236975,2021-01-16
1233390,28979498,8771,89995,1550,1004.0,32897,89995,115901.0,28979498,13842,1233390,246507,1233390,172,0,0,0,798564.0,89995,15278,0,175,236928,2021-01-17
1245575,29165703,8868,89995,1523,997.0,33052,89995,116502.0,29165703,12185,1245575,186205,1245575,155,0,0,0,1279119.0,89995,15060,0,173,234400,2021-01-18
1258087,29342972,9236,89995,1614,1049.0,33224,89995,117052.0,29342972,12512,1258087,177269,1258087,172,0,0,0,1639243.0,89995,14674,0,174,231628,2021-01-19
1271451,29538381,9273,89995,1621,1044.0,33415,89995,117882.0,29538381,13364,1271451,195409,1271451,191,0,0,0,1578038.0,89995,14501,0,177,231419,2021-01-20
1285337,29762950,9055,89995,1560,1011.0,33594,89995,118889.0,29762950,13886,1285337,224569,1285337,179,0,0,0,1656100.0,89995,14533,0,174,233131,2021-01-21
1300481,30030951,8846,89995,1546,992.0,33763,89995,119953.0,30030951,15144,1300481,268001,1300481,169,0,0,0,1675175.0,89995,13847,0,171,225035,2021-01-22
1314267,30293057,8802,89995,1562,1023.0,33907,89995,120901.0,30293057,13786,1314267,262106,1314267,144,0,0,0,998665.0,89995,13531,0,169,222867,2021-01-23
1326987,30543012,8613,89995,1527,997.0,34069,89995,121923.0,30543012,12720,1326987,249955,1326987,162,0,0,0,741960.0,89995,13371,0,167,223359,2021-01-24
1338990,30762550,8730,89995,1522,1005.0,34242,89995,122544.0,30762550,12003,1338990,219538,1338990,173,0,0,0,1595694.0,89995,13345,0,170,228121,2021-01-25
1350054,30925488,8831,89995,1544,1006.0,34407,89995,123094.0,30925488,11064,1350054,162938,1350054,165,0,0,0,1553918.0,89995,13138,0,169,226074,2021-01-26
1361082,31128149,8771,89995,1558,1027.0,34579,89995,124003.0,31128149,11028,1361082,202661,1361082,172,0,0,0,1663376.0,89995,12804,0,166,227110,2021-01-27
1374480,31378817,8520,89995,1584,1024.0,34742,89995,124976.0,31378817,13398,1374480,250668,1374480,163,0,0,0,1650014.0,89995,12735,0,164,230838,2021-01-28
1387059,31649335,8357,89995,1543,1012.0,34893,89995,125909.0,31649335,12579,1387059,270518,1387059,151,0,0,0,1514326.0,89995,12368,0,161,231198,2021-01-29
1399863,31918685,8176,89995,1551,1017.0,35036,89995,126842.0,31918685,12804,1399863,269350,1399863,143,0,0,0,943426.0,89995,12228,0,161,232233,2021-01-30
1410656,32161751,7976,89995,1534,1008.0,35178,89995,127798.0,32161751,10793,1410656,243066,1410656,142,0,0,0,723473.0,89995,11953,0,158,231248,2021-01-31
1419164,32336789,8003,89995,1500,987.0,35319,89995,128354.0,32336789,8508,1419164,175038,1419164,141,0,0,0,584184.0,89995,11453,0,154,224891,2021-02-01
1427379,32486988,8067,89995,1503,1004.0,35466,89995,128889.0,32486988,8215,1427379,150199,1427379,147,0,0,0,1007502.0,89995,11046,0,151,223071,2021-02-02
1433304,32613477,8082,89995,1522,1003.0,35631,89995,129378.0,32613477,5925,1433304,126489,1433304,165,0,0,0,1705655.0,89995,10317,0,150,212190,2021-02-03
1440718,32782663,7967,89995,1506,986.0,35767,89995,130302.0,32782663,7414,1440718,169186,1440718,136,0,0,0,1789214.0,89995,9463,0,146,200549,2021-02-04
1449495,32986290,7937,89995,1516,1000.0,35920,89995,131165.0,32986290,8777,1449495,203627,1449495,153,0,0,0,1744130.0,89995,8919,0,147,190994,2021-02-05
1460747,33247575,7804,89995,1481,995.0,36079,89995,132012.0,33247575,11252,1460747,261285,1460747,159,0,0,0,1149757.0,89995,8698,0,149,189841,2021-02-06
1470772,33498467,7649,89995,1459,979.0,36224,89995,132905.0,33498467,10025,1470772,250892,1470772,145,0,0,0,653257.0,89995,8588,0,149,190959,2021-02-07
1479220,33695650,7716,89995,1454,961.0,36339,89995,133470.0,33695650,8448,1479220,197183,1479220,115,0,0,0,1642828.0,89995,8579,0,146,194123,2021-02-08
1487086,33849298,7875,89995,1412,971.0,36481,89995,133869.0,33849298,7866,1487086,153648,1487086,142,0,0,0,1669590.0,89995,8530,0,145,194616,2021-02-09
1494187,34026048,7593,89995,1423,955.0,36619,89995,134742.0,34026048,7101,1494187,176750,1494187,138,0,0,0,1753405.0,89995,8698,0,141,201796,2021-02-10
1504286,34311547,7342,89995,1402,941.0,36743,89995,135657.0,34311547,10099,1504286,285499,1504286,124,0,0,0,1717804.0,89995,9081,0,139,218412,2021-02-11
1512690,34548681,7068,89995,1358,941.0,36882,89995,136491.0,34548681,8404,1512690,237134,1512690,139,0,0,0,1709253.0,89995,9028,0,137,223199,2021-02-12
1521453,34802244,6888,89995,1328,908.0,37009,89995,137276.0,34802244,8763,1521453,253563,1521453,127,0,0,0,1093261.0,89995,8672,0,133,222096,2021-02-13
1529769,35036952,6593,89995,1285,881.0,37118,89995,138050.0,35036952,8316,1529769,234708,1529769,109,0,0,0,858877.0,89995,8428,0,128,219784,2021-02-14
1536134,35217456,6623,89995,1270,875.0,37221,89995,138542.0,35217456,6365,1536134,180504,1536134,103,0,0,0,1216595.0,89995,8131,0,126,217401,2021-02-15
1542887,35353848,6620,89995,1271,878.0,37328,89995,138975.0,35353848,6753,1542887,136392,1542887,107,0,0,0,1628620.0,89995,7972,0,121,214936,2021-02-16
1548979,35523811,6574,89995,1273,854.0,37440,89995,139544.0,35523811,6092,1548979,169963,1548979,112,0,0,0,1735046.0,89995,7827,0,117,213966,2021-02-17
1555773,35739542,6434,89995,1258,863.0,37556,89995,140215.0,35739542,6794,1555773,215731,1555773,116,0,0,0,1383212.0,89995,7355,0,116,203999,2021-02-18
1564483,35988790,6155,89995,1199,834.0,37675,89995,140968.0,35988790,8710,1564483,249248,1564483,119,0,0,0,1566326.0,89995,7399,0,113,205730,2021-02-19
1572175,36240435,5977,89995,1162,801.0,37776,89995,141592.0,36240435,7692,1572175,251645,1572175,101,0,0,0,1112826.0,89995,7246,0,110,205456,2021-02-20
1578785,36461592,5764,89995,1162,794.0,37851,89995,142307.0,36461592,6610,1578785,221157,1578785,75,0,0,0,837871.0,89995,7002,0,105,203520,2021-02-21
1584931,36603611,5804,89995,1148,780.0,37941,89995,142724.0,36603611,6146,1584931,142019,1584931,90,0,0,0,1584469.0,89995,6971,0,103,198022,2021-02-22
1591585,36760944,5977,89995,1176,799.0,38031,89995,143071.0,36760944,6654,1591585,157333,1591585,90,0,0,0,1733100.0,89995,6957,0,100,201014,2021-02-23
1597774,36977757,5876,89995,1154,800.0,38135,89995,143659.0,36977757,6189,1597774,216813,1597774,104,0,0,0,1809764.0,89995,6971,0,99,207707,2021-02-24
1606520,37256699,5703,89995,1124,774.0,38227,89995,144322.0,37256699,8746,1606520,278942,1606520,92,0,0,0,1801238.0,89995,7250,0,96,216737,2021-02-25
1614724,37547888,5626,89995,1132,771.0,38321,89995,144991.0,37547888,8204,1614724,291189,1614724,94,0,0,0,1823038.0,89995,7177,0,92,222728,2021-02-26
1622865,37833195,5445,89995,1121,753.0,38407,89995,145672.0,37833195,8141,1622865,285307,1622865,86,0,0,0,1072896.0,89995,7241,0,90,227537,2021-02-27
1630445,38106915,5259,89995,1083,728.0,38497,89995,146374.0,38106915,7580,1630445,273720,1630445,90,0,0,0,809970.0,89995,7380,0,92,235046,2021-02-28
1636680,38281073,5307,89995,1065,741.0,38577,89995,146811.0,38281073,6235,1636680,174158,1636680,80,0,0,0,1698005.0,89995,7393,0,91,239637,2021-03-01
1642480,38409107,5369,89995,1076,747.0,38660,89995,147149.0,38409107,5800,1642480,128034,1642480,83,0,0,0,1751200.0,89995,7271,0,90,235452,2021-03-02
1650184,38627176,5323,89995,1047,735.0,38735,89995,147730.0,38627176,7704,1650184,218069,1650184,75,0,0,0,1847193.0,89995,7487,0,86,235631,2021-03-03
1657777,38897265,5177,89995,1043,712.0,38796,89995,148355.0,38897265,7593,1657777,270089,1657777,61,0,0,0,1806880.0,89995,7322,0,81,234367,2021-03-04
1666733,39194200,5034,89995,1030,700.0,38891,89995,148923.0,39194200,8956,1666733,296935,1666733,95,0,0,0,0.0,89995,7430,0,81,235187,2021-03-05
1674380,39467332,4954,89995,1012,694.0,38970,89995,149481.0,39467332,7647,1674380,273132,1674380,79,0,0,0,0.0,89995,7359,0,80,233448,2021-03-06
