positive,totalTestResults,totalTestEncountersViral,positiveIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,is_holiday,is_long_weekend,Ridership,sevenDayAvg_newCases,sevenDayAvg_hospitalize,sevenDayAvg_death,sevenDayAvg_testResult,date
563690,16876843,16876843,3490,563690,124565,563690,26,0,0.0,0.0,1745282.0,4501,0,27,157230,2020-11-16
568778,17036695,17036695,5088,568778,159852,568778,30,0,0.0,0.0,1792431.0,4662,0,26,161776,2020-11-17
574072,17191129,17191129,5294,574072,154434,574072,36,0,0.0,0.0,1791183.0,4730,0,28,160366,2020-11-18
579382,17386368,17386368,5310,579382,195239,579382,32,0,0.0,0.0,1761064.0,4803,0,29,165025,2020-11-19
584850,17591834,17591834,5468,584850,205466,584850,35,0,0.0,0.0,1803896.0,4812,0,30,165274,2020-11-20
590822,17799741,17799741,5972,590822,207907,590822,34,0,0.0,0.0,1157976.0,4896,0,32,168666,2020-11-21
596214,17996351,17996351,5392,596214,196610,596214,31,0,0.0,0.0,818055.0,5145,0,32,177725,2020-11-22
602120,18187840,18187840,5906,602120,191489,602120,33,0,0.0,0.0,1649748.0,5490,0,33,187285,2020-11-23
607001,18352601,18352601,4881,607001,164761,607001,51,0,0.0,0.0,1739107.0,5460,0,36,187987,2020-11-24
613266,18525686,18525686,6265,613266,173085,613266,41,0,0.0,0.0,1691393.0,5599,0,37,190651,2020-11-25
620199,18743407,18743407,6933,620199,217721,620199,67,0,1.0,1.0,653123.0,5831,0,42,193863,2020-11-26
628375,18962849,18962849,8176,628375,219442,628375,39,0,0.0,0.0,1265519.0,6218,0,42,195859,2020-11-27
634438,19115204,19115204,6063,634438,152355,634438,44,0,0.0,0.0,1034026.0,6231,0,44,187923,2020-11-28
641161,19272524,19272524,6723,641161,157320,641161,58,0,0.0,0.0,827800.0,6421,0,48,182310,2020-11-29
647980,19421498,19421498,6819,647980,148974,647980,57,0,0.0,0.0,1462166.0,6551,0,51,176237,2020-11-30
655265,19568173,19568173,7285,655265,146675,655265,69,0,0.0,0.0,1709780.0,6895,0,54,173653,2020-12-01
664238,19761724,19761724,8973,664238,193551,664238,73,0,0.0,0.0,1703245.0,7282,0,58,176577,2020-12-02
674093,19965164,19965164,9855,674093,203440,674093,66,0,0.0,0.0,1739370.0,7699,0,58,174537,2020-12-03
685364,20173461,20173461,11271,685364,208297,685364,62,0,0.0,0.0,1704749.0,8141,0,61,172945,2020-12-04
696125,20388862,20388862,10761,696125,215401,696125,72,0,0.0,0.0,1001236.0,8812,0,65,181951,2020-12-05
705827,20594694,20594694,9702,705827,205832,705827,60,0,0.0,0.0,879278.0,9238,0,66,188881,2020-12-06
713129,20746981,20746981,7302,713129,152287,713129,83,0,0.0,0.0,1659836.0,9307,0,69,189355,2020-12-07
722464,20909445,20909445,9335,722464,162464,722464,75,0,0.0,0.0,1544078.0,9600,0,70,191610,2020-12-08
733064,21104040,21104040,10600,733064,194595,733064,97,0,0.0,0.0,1705159.0,9832,0,74,191759,2020-12-09
743242,21301446,21301446,10178,743242,197406,743242,94,0,0.0,0.0,1764682.0,9878,0,78,190897,2020-12-10
753837,21514118,21514118,10595,753837,212672,753837,89,0,0.0,0.0,1789568.0,9782,0,81,191522,2020-12-11
764966,21757045,21757045,11129,764966,242927,764966,88,0,0.0,0.0,1091372.0,9834,0,84,195455,2020-12-12
775160,21962295,21962295,10194,775160,205250,775160,110,0,0.0,0.0,911519.0,9905,0,91,195372,2020-12-13
784204,22122139,22122139,9044,784204,159844,784204,85,0,0.0,0.0,1587068.0,10154,0,91,196451,2020-12-14
794557,22316327,22316327,10353,794557,194188,794557,132,0,0.0,0.0,1786741.0,10299,0,99,200983,2020-12-15
804555,22477274,22477274,9998,804555,160947,804555,98,0,0.0,0.0,1571978.0,10213,0,99,196176,2020-12-16
815469,22680046,22680046,10914,815469,202772,815469,122,0,0.0,0.0,1081431.0,10318,0,103,196943,2020-12-17
828166,22929431,22929431,12697,828166,249385,828166,122,0,0.0,0.0,1738727.0,10618,0,108,202188,2020-12-18
838085,23120907,23120907,9919,838085,191476,838085,130,0,0.0,0.0,1112852.0,10446,0,114,194837,2020-12-19
848042,23318158,23318158,9957,848042,197251,848042,124,0,0.0,0.0,822001.0,10412,0,116,193695,2020-12-20
857049,23474668,23474668,9007,857049,156510,857049,111,0,0.0,0.0,1719279.0,10406,0,120,193218,2020-12-21
866765,23639536,23639536,9716,866765,164868,866765,141,0,0.0,0.0,1764202.0,10315,0,121,189030,2020-12-22
878702,23843897,23843897,11937,878702,204361,878702,166,0,0.0,0.0,1775738.0,10592,0,131,195232,2020-12-23
891270,24070193,24070193,12568,891270,226296,891270,133,0,0.0,0.0,1314656.0,10829,0,132,198592,2020-12-24
903716,24296753,24296753,12446,903716,226560,903716,121,0,1.0,1.0,485839.0,10793,0,132,195332,2020-12-25
914522,24498195,24498195,10806,914522,201442,914522,126,0,0.0,0.0,880184.0,10920,0,132,196755,2020-12-26
922145,24628494,24628494,7623,922145,130299,922145,115,0,0.0,0.0,761251.0,10586,0,130,187191,2020-12-27
932552,24753360,24753360,10407,932552,124866,932552,118,0,0.0,0.0,1513195.0,10786,0,131,182670,2020-12-28
943990,24913524,24913524,11438,943990,160164,943990,127,0,0.0,0.0,1558295.0,11032,0,129,181998,2020-12-29
957412,25068473,25068473,13422,957412,154949,957412,149,0,0.0,0.0,1585476.0,11244,0,127,174939,2020-12-30
974214,25285060,25285060,16802,974214,216587,974214,135,0,0.0,0.0,1277146.0,11849,0,127,173552,2020-12-31
990711,25504313,25504313,16497,990711,219253,990711,168,0,0.0,0.0,614497.0,12428,0,134,172509,2021-01-01
1005785,25706759,25706759,15074,1005785,202446,1005785,129,0,0.0,0.0,989612.0,13038,0,134,172652,2021-01-02
1017153,25849104,25849104,11368,1017153,142345,1017153,139,0,0.0,0.0,653915.0,13573,0,138,174373,2021-01-03
1028362,25983464,25983464,11209,1028362,134360,1028362,172,0,0.0,0.0,1561237.0,13687,0,146,175729,2021-01-04
1041028,26135866,26135866,12666,1041028,152402,1041028,154,0,0.0,0.0,1600910.0,13863,0,149,174620,2021-01-05
1057676,26333682,26333682,16648,1057676,197816,1057676,163,0,0.0,0.0,1616889.0,14323,0,151,180744,2021-01-06
1075312,26572232,26572232,17636,1075312,238550,1075312,199,0,0.0,0.0,1614248.0,14443,0,161,183882,2021-01-07
1094144,26816135,26816135,18832,1094144,243903,1094144,165,0,0.0,0.0,1622259.0,14776,0,160,187403,2021-01-08
1111087,27074166,27074166,16943,1111087,258031,1111087,190,0,0.0,0.0,991218.0,15043,0,169,195344,2021-01-09
1126442,27321002,27321002,15355,1126442,246836,1126442,153,0,0.0,0.0,763690.0,15613,0,171,210271,2021-01-10
1140156,27524906,27524906,13714,1140156,203904,1140156,169,0,0.0,0.0,1571330.0,15971,0,170,220206,2021-01-11
1155370,27721577,27721577,15214,1155370,196671,1155370,166,0,0.0,0.0,1643725.0,16335,0,172,226530,2021-01-12
1169947,27918445,27918445,14577,1169947,196868,1169947,168,0,0.0,0.0,1644812.0,16039,0,173,226395,2021-01-13
1183608,28131034,28131034,13661,1183608,212589,1183608,204,0,0.0,0.0,1650630.0,15471,0,174,222686,2021-01-14
1203550,28455705,28455705,19942,1203550,324671,1203550,187,0,0.0,0.0,1630098.0,15629,0,177,234224,2021-01-15
1219548,28732991,28732991,15998,1219548,277286,1219548,159,0,0.0,0.0,992599.0,15494,0,172,236975,2021-01-16
1233390,28979498,28979498,13842,1233390,246507,1233390,172,0,0.0,0.0,798564.0,15278,0,175,236928,2021-01-17
1245575,29165703,29165703,12185,1245575,186205,1245575,155,0,0.0,0.0,1279119.0,15060,0,173,234400,2021-01-18
1258087,29342972,29342972,12512,1258087,177269,1258087,172,0,0.0,0.0,1639243.0,14674,0,174,231628,2021-01-19
1271451,29538381,29538381,13364,1271451,195409,1271451,191,0,0.0,0.0,1578038.0,14501,0,177,231419,2021-01-20
1285337,29762950,29762950,13886,1285337,224569,1285337,179,0,0.0,0.0,1656100.0,14533,0,174,233131,2021-01-21
1300481,30030951,30030951,15144,1300481,268001,1300481,169,0,0.0,0.0,1675175.0,13847,0,171,225035,2021-01-22
1314267,30293057,30293057,13786,1314267,262106,1314267,144,0,0.0,0.0,998665.0,13531,0,169,222867,2021-01-23
1326987,30543012,30543012,12720,1326987,249955,1326987,162,0,0.0,0.0,741960.0,13371,0,167,223359,2021-01-24
1338990,30762550,30762550,12003,1338990,219538,1338990,173,0,0.0,0.0,1595694.0,13345,0,170,228121,2021-01-25
1350054,30925488,30925488,11064,1350054,162938,1350054,165,0,0.0,0.0,1553918.0,13138,0,169,226074,2021-01-26
1361082,31128149,31128149,11028,1361082,202661,1361082,172,0,0.0,0.0,1663376.0,12804,0,166,227110,2021-01-27
1374480,31378817,31378817,13398,1374480,250668,1374480,163,0,0.0,0.0,1650014.0,12735,0,164,230838,2021-01-28
1387059,31649335,31649335,12579,1387059,270518,1387059,151,0,0.0,0.0,1514326.0,12368,0,161,231198,2021-01-29
1399863,31918685,31918685,12804,1399863,269350,1399863,143,0,0.0,0.0,943426.0,12228,0,161,232233,2021-01-30
1410656,32161751,32161751,10793,1410656,243066,1410656,142,0,0.0,0.0,723473.0,11953,0,158,231248,2021-01-31
1419164,32336789,32336789,8508,1419164,175038,1419164,141,0,0.0,0.0,584184.0,11453,0,154,224891,2021-02-01
1427379,32486988,32486988,8215,1427379,150199,1427379,147,0,0.0,0.0,1007502.0,11046,0,151,223071,2021-02-02
1433304,32613477,32613477,5925,1433304,126489,1433304,165,0,0.0,0.0,1705655.0,10317,0,150,212190,2021-02-03
1440718,32782663,32782663,7414,1440718,169186,1440718,136,0,0.0,0.0,1789214.0,9463,0,146,200549,2021-02-04
1449495,32986290,32986290,8777,1449495,203627,1449495,153,0,0.0,0.0,1744130.0,8919,0,147,190994,2021-02-05
1460747,33247575,33247575,11252,1460747,261285,1460747,159,0,0.0,0.0,1149757.0,8698,0,149,189841,2021-02-06
1470772,33498467,33498467,10025,1470772,250892,1470772,145,0,0.0,0.0,653257.0,8588,0,149,190959,2021-02-07
1479220,33695650,33695650,8448,1479220,197183,1479220,115,0,0.0,0.0,1642828.0,8579,0,146,194123,2021-02-08
1487086,33849298,33849298,7866,1487086,153648,1487086,142,0,0.0,0.0,1669590.0,8530,0,145,194616,2021-02-09
1494187,34026048,34026048,7101,1494187,176750,1494187,138,0,0.0,0.0,1753405.0,8698,0,141,201796,2021-02-10
1504286,34311547,34311547,10099,1504286,285499,1504286,124,0,0.0,0.0,1717804.0,9081,0,139,218412,2021-02-11
1512690,34548681,34548681,8404,1512690,237134,1512690,139,0,0.0,0.0,1709253.0,9028,0,137,223199,2021-02-12
1521453,34802244,34802244,8763,1521453,253563,1521453,127,0,0.0,0.0,1093261.0,8672,0,133,222096,2021-02-13
1529769,35036952,35036952,8316,1529769,234708,1529769,109,0,0.0,0.0,858877.0,8428,0,128,219784,2021-02-14
1536134,35217456,35217456,6365,1536134,180504,1536134,103,0,0.0,0.0,1216595.0,8131,0,126,217401,2021-02-15
1542887,35353848,35353848,6753,1542887,136392,1542887,107,0,0.0,0.0,1628620.0,7972,0,121,214936,2021-02-16
1548979,35523811,35523811,6092,1548979,169963,1548979,112,0,0.0,0.0,1735046.0,7827,0,117,213966,2021-02-17
1555773,35739542,35739542,6794,1555773,215731,1555773,116,0,0.0,0.0,1383212.0,7355,0,116,203999,2021-02-18
1564483,35988790,35988790,8710,1564483,249248,1564483,119,0,0.0,0.0,1566326.0,7399,0,113,205730,2021-02-19
1572175,36240435,36240435,7692,1572175,251645,1572175,101,0,0.0,0.0,1112826.0,7246,0,110,205456,2021-02-20
1578785,36461592,36461592,6610,1578785,221157,1578785,75,0,0.0,0.0,837871.0,7002,0,105,203520,2021-02-21
1584931,36603611,36603611,6146,1584931,142019,1584931,90,0,0.0,0.0,1584469.0,6971,0,103,198022,2021-02-22
1591585,36760944,36760944,6654,1591585,157333,1591585,90,0,0.0,0.0,1733100.0,6957,0,100,201014,2021-02-23
1597774,36977757,36977757,6189,1597774,216813,1597774,104,0,0.0,0.0,1809764.0,6971,0,99,207707,2021-02-24
1606520,37256699,37256699,8746,1606520,278942,1606520,92,0,0.0,0.0,1801238.0,7250,0,96,216737,2021-02-25
1614724,37547888,37547888,8204,1614724,291189,1614724,94,0,0.0,0.0,1823038.0,7177,0,92,222728,2021-02-26
1622865,37833195,37833195,8141,1622865,285307,1622865,86,0,0.0,0.0,1072896.0,7241,0,90,227537,2021-02-27
1630445,38106915,38106915,7580,1630445,273720,1630445,90,0,0.0,0.0,809970.0,7380,0,92,235046,2021-02-28
1636680,38281073,38281073,6235,1636680,174158,1636680,80,0,0.0,0.0,1698005.0,7393,0,91,239637,2021-03-01
1642480,38409107,38409107,5800,1642480,128034,1642480,83,0,0.0,0.0,1751200.0,7271,0,90,235452,2021-03-02
1650184,38627176,38627176,7704,1650184,218069,1650184,75,0,0.0,0.0,1847193.0,7487,0,86,235631,2021-03-03
1657777,38897265,38897265,7593,1657777,270089,1657777,61,0,0.0,0.0,1806880.0,7322,0,81,234367,2021-03-04
1666733,39194200,39194200,8956,1666733,296935,1666733,95,0,0.0,0.0,,7430,0,81,235187,2021-03-05
1674380,39467332,39467332,7647,1674380,273132,1674380,79,0,0.0,0.0,,7359,0,80,233448,2021-03-06
